Reading	Plate	Well	Type	Group	Sample	Meas. time [s]	RFU	Em	Ex	
1	1	 A01	Unknown	Assay	1 1/4	0	0.272463	520	490	
1	1	 B01	Unknown	Assay	2 1/4	0.25	0.22702	520	490	
1	1	 C01	Unknown	Assay	3 1/4	0.5	0.254498	520	490	
1	1	 D01	Unknown	Assay	4 1/4	0.75	0.272355	520	490	
1	1	 E01	Unknown	Assay	5 1/4	1	0.304571	520	490	
1	1	 F01	Unknown	Assay	6 1/4	1.25	0.549214	520	490	
1	1	 G01	Unknown	Assay	7 1/4	1.5	0.264096	520	490	
1	1	 H01	Unknown	Assay	8 1/4	1.75	1.53615	520	490	
1	1	 H02	Unknown	Assay	8 2/4	2	1.5947	520	490	
1	1	 G02	Unknown	Assay	7 2/4	2.25	0.25228	520	490	
1	1	 F02	Unknown	Assay	6 2/4	2.5	0.535625	520	490	
1	1	 E02	Unknown	Assay	5 2/4	2.75	0.293357	520	490	
1	1	 D02	Unknown	Assay	4 2/4	3	0.297399	520	490	
1	1	 C02	Unknown	Assay	3 2/4	3.25	0.27284	520	490	
1	1	 B02	Unknown	Assay	2 2/4	3.5	0.262103	520	490	
1	1	 A02	Unknown	Assay	1 2/4	3.75	0.272916	520	490	
1	1	 A03	Unknown	Assay	1 3/4	4	0.265396	520	490	
1	1	 B03	Unknown	Assay	2 3/4	4.25	0.28884	520	490	
1	1	 C03	Unknown	Assay	3 3/4	4.5	0.267398	520	490	
1	1	 D03	Unknown	Assay	4 3/4	4.75	0.300684	520	490	
1	1	 E03	Unknown	Assay	5 3/4	5	0.313746	520	490	
1	1	 F03	Unknown	Assay	6 3/4	5.25	0.551815	520	490	
1	1	 G03	Unknown	Assay	7 3/4	5.5	0.238902	520	490	
1	1	 H03	Unknown	Assay	8 3/4	5.75	1.59647	520	490	
1	1	 H04	Unknown	Assay	8 4/4	6	1.5031	520	490	
1	1	 G04	Unknown	Assay	7 4/4	6.25	0.218876	520	490	
1	1	 F04	Unknown	Assay	6 4/4	6.5	0.515836	520	490	
1	1	 E04	Unknown	Assay	5 4/4	6.75	0.285127	520	490	
1	1	 D04	Unknown	Assay	4 4/4	7	0.273762	520	490	
1	1	 C04	Unknown	Assay	3 4/4	7.25	0.294292	520	490	
1	1	 B04	Unknown	Assay	2 4/4	7.5	0.30109	520	490	
1	1	 A04	Unknown	Assay	1 4/4	7.75	0.271118	520	490	
1	1	 A05	Unknown	Assay	9 1/4	8	0.262658	520	490	
1	1	 B05	Unknown	Assay	9 2/4	8.25	0.234886	520	490	
1	1	 C05	Unknown	Assay	9 3/4	8.5	0.261914	520	490	
1	1	 D05	Unknown	Assay	9 4/4	8.75	0.236162	520	490	
2	1	 A01	Unknown	Assay	1 1/4	119.78	0.28952	520	490	
2	1	 B01	Unknown	Assay	2 1/4	120.03	0.241953	520	490	
2	1	 C01	Unknown	Assay	3 1/4	120.28	0.297439	520	490	
2	1	 D01	Unknown	Assay	4 1/4	120.53	0.301161	520	490	
2	1	 E01	Unknown	Assay	5 1/4	120.78	0.349885	520	490	
2	1	 F01	Unknown	Assay	6 1/4	121.03	0.655108	520	490	
2	1	 G01	Unknown	Assay	7 1/4	121.28	0.230538	520	490	
2	1	 H01	Unknown	Assay	8 1/4	121.53	1.91557	520	490	
2	1	 H02	Unknown	Assay	8 2/4	121.78	1.82625	520	490	
2	1	 G02	Unknown	Assay	7 2/4	122.03	0.24655	520	490	
2	1	 F02	Unknown	Assay	6 2/4	122.28	0.706888	520	490	
2	1	 E02	Unknown	Assay	5 2/4	122.53	0.326774	520	490	
2	1	 D02	Unknown	Assay	4 2/4	122.78	0.283302	520	490	
2	1	 C02	Unknown	Assay	3 2/4	123.03	0.303809	520	490	
2	1	 B02	Unknown	Assay	2 2/4	123.28	0.269156	520	490	
2	1	 A02	Unknown	Assay	1 2/4	123.53	0.277828	520	490	
2	1	 A03	Unknown	Assay	1 3/4	123.78	0.283092	520	490	
2	1	 B03	Unknown	Assay	2 3/4	124.03	0.278468	520	490	
2	1	 C03	Unknown	Assay	3 3/4	124.28	0.290985	520	490	
2	1	 D03	Unknown	Assay	4 3/4	124.53	0.272542	520	490	
2	1	 E03	Unknown	Assay	5 3/4	124.78	0.363057	520	490	
2	1	 F03	Unknown	Assay	6 3/4	125.03	0.624135	520	490	
2	1	 G03	Unknown	Assay	7 3/4	125.28	0.25791	520	490	
2	1	 H03	Unknown	Assay	8 3/4	125.53	1.87063	520	490	
2	1	 H04	Unknown	Assay	8 4/4	125.78	1.63377	520	490	
2	1	 G04	Unknown	Assay	7 4/4	126.03	0.248486	520	490	
2	1	 F04	Unknown	Assay	6 4/4	126.28	0.637736	520	490	
2	1	 E04	Unknown	Assay	5 4/4	126.53	0.328125	520	490	
2	1	 D04	Unknown	Assay	4 4/4	126.78	0.281954	520	490	
2	1	 C04	Unknown	Assay	3 4/4	127.03	0.288627	520	490	
2	1	 B04	Unknown	Assay	2 4/4	127.28	0.284755	520	490	
2	1	 A04	Unknown	Assay	1 4/4	127.53	0.310273	520	490	
2	1	 A05	Unknown	Assay	9 1/4	127.78	0.26828	520	490	
2	1	 B05	Unknown	Assay	9 2/4	128.03	0.238426	520	490	
2	1	 C05	Unknown	Assay	9 3/4	128.28	0.247653	520	490	
2	1	 D05	Unknown	Assay	9 4/4	128.53	0.214061	520	490	
3	1	 A01	Unknown	Assay	1 1/4	239.78	0.307609	520	490	
3	1	 B01	Unknown	Assay	2 1/4	240.03	0.247484	520	490	
3	1	 C01	Unknown	Assay	3 1/4	240.28	0.291816	520	490	
3	1	 D01	Unknown	Assay	4 1/4	240.53	0.342399	520	490	
3	1	 E01	Unknown	Assay	5 1/4	240.78	0.357268	520	490	
3	1	 F01	Unknown	Assay	6 1/4	241.03	0.763206	520	490	
3	1	 G01	Unknown	Assay	7 1/4	241.28	0.257249	520	490	
3	1	 H01	Unknown	Assay	8 1/4	241.53	2.02191	520	490	
3	1	 H02	Unknown	Assay	8 2/4	241.78	2.01084	520	490	
3	1	 G02	Unknown	Assay	7 2/4	242.03	0.237141	520	490	
3	1	 F02	Unknown	Assay	6 2/4	242.28	0.721371	520	490	
3	1	 E02	Unknown	Assay	5 2/4	242.53	0.327491	520	490	
