Reading	Plate	Well	Type	Group	Sample	Meas. time [s]	RFU	Em	Ex	
1	1	 A01	Unknown	Assay	1 1/4	0	68.5339	520	490	
1	1	 B01	Unknown	Assay	1 2/4	0.21	97.7164	520	490	
1	1	 C01	Unknown	Assay	2 1/4	0.43	15.5282	520	490	
1	1	 D01	Unknown	Assay	2 2/4	0.64	22.0608	520	490	
1	1	 E01	Unknown	Assay	3 1/4	1.09	2.93136	520	490	
1	1	 F01	Unknown	Assay	3 2/4	1.3	3.77744	520	490	
1	1	 G01	Unknown	Assay	4 1/4	1.51	2.2116	520	490	
1	1	 H01	Unknown	Assay	4 2/4	1.72	2.68491	520	490	
1	1	 I01	Unknown	Assay	5 1/4	1.93	1.86025	520	490	
1	1	 J01	Unknown	Assay	5 2/4	2.14	2.51829	520	490	
1	1	 K01	Unknown	Assay	6 1/4	2.36	1.58999	520	490	
1	1	 L01	Unknown	Assay	6 2/4	2.57	2.25237	520	490	
1	1	 M01	Unknown	Assay	7 1/4	2.78	1.87426	520	490	
1	1	 N01	Unknown	Assay	7 2/4	2.99	2.09916	520	490	
1	1	 O01	Unknown	Assay	8 1/4	3.68	157.317	520	490	
1	1	 P01	Unknown	Assay	8 2/4	3.89	176.152	520	490	
1	1	 P02	Unknown	Assay	8 4/4	4.11	157.672	520	490	
1	1	 O02	Unknown	Assay	8 3/4	4.32	194.059	520	490	
1	1	 N02	Unknown	Assay	7 4/4	4.98	2.44303	520	490	
1	1	 M02	Unknown	Assay	7 3/4	5.19	2.30197	520	490	
1	1	 L02	Unknown	Assay	6 4/4	5.4	2.47503	520	490	
1	1	 K02	Unknown	Assay	6 3/4	5.61	2.33459	520	490	
1	1	 J02	Unknown	Assay	5 4/4	5.82	3.19208	520	490	
1	1	 I02	Unknown	Assay	5 3/4	6.03	2.60444	520	490	
1	1	 H02	Unknown	Assay	4 4/4	6.25	3.98191	520	490	
1	1	 G02	Unknown	Assay	4 3/4	6.46	2.8951	520	490	
1	1	 F02	Unknown	Assay	3 4/4	6.67	5.6659	520	490	
1	1	 E02	Unknown	Assay	3 3/4	6.88	4.39566	520	490	
1	1	 D02	Unknown	Assay	2 4/4	7.34	29.8872	520	490	
1	1	 C02	Unknown	Assay	2 3/4	7.55	26.286	520	490	
1	1	 B02	Unknown	Assay	1 4/4	7.76	122.135	520	490	
1	1	 A02	Unknown	Assay	1 3/4	7.97	110.844	520	490	
1	1	 A03	Unknown	Assay	9 1/4	8.43	0.0867941	520	490	
1	1	 B03	Unknown	Assay	9 2/4	8.64	0.10043	520	490	
1	1	 B04	Unknown	Assay	9 4/4	8.85	0.0973675	520	490	
1	1	 A04	Unknown	Assay	9 3/4	9.07	0.103254	520	490	
2	1	 A01	Unknown	Assay	1 1/4	59.98	122.434	520	490	
2	1	 B01	Unknown	Assay	1 2/4	60.42	172.027	520	490	
2	1	 C01	Unknown	Assay	2 1/4	60.87	27.8292	520	490	
2	1	 D01	Unknown	Assay	2 2/4	61.08	39.988	520	490	
2	1	 E01	Unknown	Assay	3 1/4	61.52	4.02594	520	490	
2	1	 F01	Unknown	Assay	3 2/4	61.73	5.53201	520	490	
2	1	 G01	Unknown	Assay	4 1/4	61.94	2.33915	520	490	
2	1	 H01	Unknown	Assay	4 2/4	62.15	2.91887	520	490	
2	1	 I01	Unknown	Assay	5 1/4	62.36	1.97715	520	490	
2	1	 J01	Unknown	Assay	5 2/4	62.57	2.47341	520	490	
2	1	 K01	Unknown	Assay	6 1/4	62.78	1.70291	520	490	
2	1	 L01	Unknown	Assay	6 2/4	63	2.25191	520	490	
2	1	 M01	Unknown	Assay	7 1/4	63.21	1.82402	520	490	
2	1	 N01	Unknown	Assay	7 2/4	63.42	2.14591	520	490	
2	1	 O01	Unknown	Assay	8 1/4	64.11	159.717	520	490	
2	1	 P01	Unknown	Assay	8 2/4	64.32	177.073	520	490	
2	1	 P02	Unknown	Assay	8 4/4	64.53	155.932	520	490	
2	1	 O02	Unknown	Assay	8 3/4	64.75	192.787	520	490	
2	1	 N02	Unknown	Assay	7 4/4	65.41	2.48162	520	490	
2	1	 M02	Unknown	Assay	7 3/4	65.62	2.37334	520	490	
2	1	 L02	Unknown	Assay	6 4/4	65.83	2.52487	520	490	
2	1	 K02	Unknown	Assay	6 3/4	66.04	2.43565	520	490	
2	1	 J02	Unknown	Assay	5 4/4	66.25	3.36199	520	490	
2	1	 I02	Unknown	Assay	5 3/4	66.46	2.69935	520	490	
2	1	 H02	Unknown	Assay	4 4/4	66.67	4.35367	520	490	
2	1	 G02	Unknown	Assay	4 3/4	66.89	3.22869	520	490	
2	1	 F02	Unknown	Assay	3 4/4	67.1	8.0456	520	490	
2	1	 E02	Unknown	Assay	3 3/4	67.31	6.44856	520	490	
2	1	 D02	Unknown	Assay	2 4/4	67.76	53.6945	520	490	
2	1	 C02	Unknown	Assay	2 3/4	67.98	49.0802	520	490	
2	1	 B02	Unknown	Assay	1 4/4	68.4	206.516	520	490	
2	1	 A02	Unknown	Assay	1 3/4	68.61	193.973	520	490	
2	1	 A03	Unknown	Assay	9 1/4	69.31	0.0926505	520	490	
2	1	 B03	Unknown	Assay	9 2/4	69.52	0.0914792	520	490	
2	1	 B04	Unknown	Assay	9 4/4	69.73	0.104652	520	490	
2	1	 A04	Unknown	Assay	9 3/4	69.95	0.0963704	520	490	
3	1	 A01	Unknown	Assay	1 1/4	120.22	159.778	520	490	
3	1	 B01	Unknown	Assay	1 2/4	120.43	242.59	520	490	
3	1	 C01	Unknown	Assay	2 1/4	120.87	45.7324	520	490	
3	1	 D01	Unknown	Assay	2 2/4	121.08	67.9453	520	490	
3	1	 E01	Unknown	Assay	3 1/4	121.29	6.07818	520	490	
3	1	 F01	Unknown	Assay	3 2/4	121.5	8.23981	520	490	
3	1	 G01	Unknown	Assay	4 1/4	121.92	2.59621	520	490	
3	1	 H01	Unknown	Assay	4 2/4	122.13	3.359	520	490	
3	1	 I01	Unknown	Assay	5 1/4	122.34	2.06611	520	490	
3	1	 J01	Unknown	Assay	5 2/4	122.55	2.5388	520	490	
3	1	 K01	Unknown	Assay	6 1/4	122.76	1.70532	520	490	
3	1	 L01	Unknown	Assay	6 2/4	122.97	2.23765	520	490	
3	1	 M01	Unknown	Assay	7 1/4	123.18	1.86562	520	490	
3	1	 N01	Unknown	Assay	7 2/4	123.39	2.163	520	490	
3	1	 O01	Unknown	Assay	8 1/4	124.06	158.708	520	490	
3	1	 P01	Unknown	Assay	8 2/4	124.27	182.217	520	490	
3	1	 P02	Unknown	Assay	8 4/4	124.49	158.146	520	490	
3	1	 O02	Unknown	Assay	8 3/4	124.7	191.816	520	490	
3	1	 N02	Unknown	Assay	7 4/4	125.36	2.45608	520	490	
3	1	 M02	Unknown	Assay	7 3/4	125.57	2.35324	520	490	
3	1	 L02	Unknown	Assay	6 4/4	125.78	2.47283	520	490	
3	1	 K02	Unknown	Assay	6 3/4	125.99	2.46657	520	490	
3	1	 J02	Unknown	Assay	5 4/4	126.2	3.44842	520	490	
3	1	 I02	Unknown	Assay	5 3/4	126.42	2.70523	520	490	
3	1	 H02	Unknown	Assay	4 4/4	126.63	4.71823	520	490	
3	1	 G02	Unknown	Assay	4 3/4	126.84	3.54205	520	490	
3	1	 F02	Unknown	Assay	3 4/4	127.26	11.5075	520	490	
3	1	 E02	Unknown	Assay	3 3/4	127.47	9.82652	520	490	
3	1	 D02	Unknown	Assay	2 4/4	127.68	87.0527	520	490	
3	1	 C02	Unknown	Assay	2 3/4	127.89	78.4742	520	490	
3	1	 B02	Unknown	Assay	1 4/4	128.31	279.836	520	490	
3	1	 A02	Unknown	Assay	1 3/4	128.53	245.912	520	490	
3	1	 A03	Unknown	Assay	9 1/4	129.21	0.0874608	520	490	
3	1	 B03	Unknown	Assay	9 2/4	129.42	0.0870158	520	490	
3	1	 B04	Unknown	Assay	9 4/4	129.63	0.0895974	520	490	
3	1	 A04	Unknown	Assay	9 3/4	129.85	0.0908508	520	490	
4	1	 A01	Unknown	Assay	1 1/4	180.22	172.465	520	490	
4	1	 B01	Unknown	Assay	1 2/4	180.43	267.759	520	490	
4	1	 C01	Unknown	Assay	2 1/4	180.87	64.8223	520	490	
4	1	 D01	Unknown	Assay	2 2/4	181.08	97.8239	520	490	
4	1	 E01	Unknown	Assay	3 1/4	181.29	8.40558	520	490	
4	1	 F01	Unknown	Assay	3 2/4	181.5	11.8698	520	490	
4	1	 G01	Unknown	Assay	4 1/4	181.92	3.06212	520	490	
4	1	 H01	Unknown	Assay	4 2/4	182.13	3.78382	520	490	
4	1	 I01	Unknown	Assay	5 1/4	182.34	2.12039	520	490	
4	1	 J01	Unknown	Assay	5 2/4	182.55	2.61506	520	490	
4	1	 K01	Unknown	Assay	6 1/4	182.76	1.73316	520	490	
4	1	 L01	Unknown	Assay	6 2/4	182.97	2.36731	520	490	
4	1	 M01	Unknown	Assay	7 1/4	183.18	1.78125	520	490	
4	1	 N01	Unknown	Assay	7 2/4	183.4	2.16447	520	490	
4	1	 O01	Unknown	Assay	8 1/4	184.06	161.987	520	490	
4	1	 P01	Unknown	Assay	8 2/4	184.27	185.964	520	490	
4	1	 P02	Unknown	Assay	8 4/4	184.48	161.342	520	490	
4	1	 O02	Unknown	Assay	8 3/4	184.7	192.152	520	490	
4	1	 N02	Unknown	Assay	7 4/4	185.36	2.39106	520	490	
4	1	 M02	Unknown	Assay	7 3/4	185.57	2.31598	520	490	
4	1	 L02	Unknown	Assay	6 4/4	185.78	2.52762	520	490	
4	1	 K02	Unknown	Assay	6 3/4	185.99	2.5134	520	490	
4	1	 J02	Unknown	Assay	5 4/4	186.2	3.41797	520	490	
4	1	 I02	Unknown	Assay	5 3/4	186.41	2.86164	520	490	
4	1	 H02	Unknown	Assay	4 4/4	186.63	5.39713	520	490	
4	1	 G02	Unknown	Assay	4 3/4	186.84	4.19545	520	490	
4	1	 F02	Unknown	Assay	3 4/4	187.27	16.1078	520	490	
4	1	 E02	Unknown	Assay	3 3/4	187.48	13.849	520	490	
4	1	 D02	Unknown	Assay	2 4/4	187.69	123.729	520	490	
4	1	 C02	Unknown	Assay	2 3/4	187.9	112.298	520	490	
4	1	 B02	Unknown	Assay	1 4/4	188.36	306.456	520	490	
4	1	 A02	Unknown	Assay	1 3/4	188.57	259.53	520	490	
4	1	 A03	Unknown	Assay	9 1/4	189.26	0.0804977	520	490	
4	1	 B03	Unknown	Assay	9 2/4	189.47	0.0941375	520	490	
4	1	 B04	Unknown	Assay	9 4/4	189.68	0.0885587	520	490	
4	1	 A04	Unknown	Assay	9 3/4	189.89	0.0963568	520	490	
5	1	 A01	Unknown	Assay	1 1/4	240.23	171.535	520	490	
5	1	 B01	Unknown	Assay	1 2/4	240.44	268.296	520	490	
5	1	 C01	Unknown	Assay	2 1/4	240.88	82.0068	520	490	
5	1	 D01	Unknown	Assay	2 2/4	241.09	123.075	520	490	
5	1	 E01	Unknown	Assay	3 1/4	241.3	11.3824	520	490	
5	1	 F01	Unknown	Assay	3 2/4	241.51	15.9283	520	490	
5	1	 G01	Unknown	Assay	4 1/4	241.93	3.26403	520	490	
5	1	 H01	Unknown	Assay	4 2/4	242.14	4.25735	520	490	
5	1	 I01	Unknown	Assay	5 1/4	242.35	2.16443	520	490	
5	1	 J01	Unknown	Assay	5 2/4	242.56	2.77549	520	490	
5	1	 K01	Unknown	Assay	6 1/4	242.77	1.79385	520	490	
5	1	 L01	Unknown	Assay	6 2/4	242.98	2.38612	520	490	
5	1	 M01	Unknown	Assay	7 1/4	243.19	1.86398	520	490	
5	1	 N01	Unknown	Assay	7 2/4	243.4	2.25041	520	490	
5	1	 O01	Unknown	Assay	8 1/4	244.07	164.789	520	490	
5	1	 P01	Unknown	Assay	8 2/4	244.28	188.865	520	490	
5	1	 P02	Unknown	Assay	8 4/4	244.49	164.2	520	490	
5	1	 O02	Unknown	Assay	8 3/4	244.71	192.907	520	490	
5	1	 N02	Unknown	Assay	7 4/4	245.37	2.35797	520	490	
5	1	 M02	Unknown	Assay	7 3/4	245.58	2.30442	520	490	
5	1	 L02	Unknown	Assay	6 4/4	245.79	2.54633	520	490	
5	1	 K02	Unknown	Assay	6 3/4	246	2.45837	520	490	
5	1	 J02	Unknown	Assay	5 4/4	246.21	3.52448	520	490	
5	1	 I02	Unknown	Assay	5 3/4	246.42	2.87714	520	490	
5	1	 H02	Unknown	Assay	4 4/4	246.64	5.88203	520	490	
5	1	 G02	Unknown	Assay	4 3/4	246.85	4.74077	520	490	
5	1	 F02	Unknown	Assay	3 4/4	247.28	21.3027	520	490	
5	1	 E02	Unknown	Assay	3 3/4	247.49	18.797	520	490	
5	1	 D02	Unknown	Assay	2 4/4	247.91	155.398	520	490	
5	1	 C02	Unknown	Assay	2 3/4	248.12	142.566	520	490	
5	1	 B02	Unknown	Assay	1 4/4	248.34	305.423	520	490	
5	1	 A02	Unknown	Assay	1 3/4	248.55	257.424	520	490	
5	1	 A03	Unknown	Assay	9 1/4	249.22	0.109068	520	490	
5	1	 B03	Unknown	Assay	9 2/4	249.43	0.10603	520	490	
5	1	 B04	Unknown	Assay	9 4/4	249.64	0.0879982	520	490	
5	1	 A04	Unknown	Assay	9 3/4	249.85	0.0996574	520	490	
6	1	 A01	Unknown	Assay	1 1/4	300.23	172.237	520	490	
6	1	 B01	Unknown	Assay	1 2/4	300.44	264.131	520	490	
6	1	 C01	Unknown	Assay	2 1/4	300.88	93.6934	520	490	
6	1	 D01	Unknown	Assay	2 2/4	301.09	142.292	520	490	
6	1	 E01	Unknown	Assay	3 1/4	301.3	14.3045	520	490	
6	1	 F01	Unknown	Assay	3 2/4	301.51	19.788	520	490	
6	1	 G01	Unknown	Assay	4 1/4	301.92	3.62404	520	490	
6	1	 H01	Unknown	Assay	4 2/4	302.13	4.74961	520	490	
6	1	 I01	Unknown	Assay	5 1/4	302.34	2.22925	520	490	
6	1	 J01	Unknown	Assay	5 2/4	302.56	2.81761	520	490	
6	1	 K01	Unknown	Assay	6 1/4	302.77	1.75239	520	490	
6	1	 L01	Unknown	Assay	6 2/4	302.98	2.36484	520	490	
6	1	 M01	Unknown	Assay	7 1/4	303.19	1.82783	520	490	
6	1	 N01	Unknown	Assay	7 2/4	303.4	2.11791	520	490	
6	1	 O01	Unknown	Assay	8 1/4	304.07	168.276	520	490	
6	1	 P01	Unknown	Assay	8 2/4	304.28	191.134	520	490	
6	1	 P02	Unknown	Assay	8 4/4	304.49	165.588	520	490	
6	1	 O02	Unknown	Assay	8 3/4	304.7	195.047	520	490	
6	1	 N02	Unknown	Assay	7 4/4	305.36	2.38334	520	490	
6	1	 M02	Unknown	Assay	7 3/4	305.57	2.29735	520	490	
6	1	 L02	Unknown	Assay	6 4/4	305.79	2.48841	520	490	
6	1	 K02	Unknown	Assay	6 3/4	306	2.46796	520	490	
6	1	 J02	Unknown	Assay	5 4/4	306.21	3.48691	520	490	
6	1	 I02	Unknown	Assay	5 3/4	306.42	2.86468	520	490	
6	1	 H02	Unknown	Assay	4 4/4	306.63	6.47026	520	490	
6	1	 G02	Unknown	Assay	4 3/4	306.84	5.25516	520	490	
6	1	 F02	Unknown	Assay	3 4/4	307.27	25.5236	520	490	
6	1	 E02	Unknown	Assay	3 3/4	307.48	22.7677	520	490	
6	1	 D02	Unknown	Assay	2 4/4	307.91	180.42	520	490	
6	1	 C02	Unknown	Assay	2 3/4	308.12	160.302	520	490	
6	1	 B02	Unknown	Assay	1 4/4	308.33	300.46	520	490	
6	1	 A02	Unknown	Assay	1 3/4	308.54	252.845	520	490	
6	1	 A03	Unknown	Assay	9 1/4	309.21	0.0914979	520	490	
6	1	 B03	Unknown	Assay	9 2/4	309.43	0.0967521	520	490	
6	1	 B04	Unknown	Assay	9 4/4	309.64	0.075398	520	490	
6	1	 A04	Unknown	Assay	9 3/4	309.85	0.106767	520	490	
7	1	 A01	Unknown	Assay	1 1/4	360.24	170.195	520	490	
7	1	 B01	Unknown	Assay	1 2/4	360.45	263.17	520	490	
7	1	 C01	Unknown	Assay	2 1/4	360.67	106.099	520	490	
7	1	 D01	Unknown	Assay	2 2/4	360.88	159.479	520	490	
7	1	 E01	Unknown	Assay	3 1/4	361.3	17.2773	520	490	
7	1	 F01	Unknown	Assay	3 2/4	361.51	24.0038	520	490	
7	1	 G01	Unknown	Assay	4 1/4	361.94	4.07466	520	490	
7	1	 H01	Unknown	Assay	4 2/4	362.15	5.14315	520	490	
7	1	 I01	Unknown	Assay	5 1/4	362.36	2.27894	520	490	
7	1	 J01	Unknown	Assay	5 2/4	362.57	2.8825	520	490	
7	1	 K01	Unknown	Assay	6 1/4	362.78	1.75667	520	490	
7	1	 L01	Unknown	Assay	6 2/4	362.99	2.42814	520	490	
7	1	 M01	Unknown	Assay	7 1/4	363.2	1.85858	520	490	
7	1	 N01	Unknown	Assay	7 2/4	363.41	2.19239	520	490	
7	1	 O01	Unknown	Assay	8 1/4	364.08	168.486	520	490	
7	1	 P01	Unknown	Assay	8 2/4	364.29	190.03	520	490	
7	1	 P02	Unknown	Assay	8 4/4	364.51	166.608	520	490	
7	1	 O02	Unknown	Assay	8 3/4	364.72	197.826	520	490	
7	1	 N02	Unknown	Assay	7 4/4	365.38	2.41714	520	490	
7	1	 M02	Unknown	Assay	7 3/4	365.59	2.26569	520	490	
7	1	 L02	Unknown	Assay	6 4/4	365.8	2.54973	520	490	
7	1	 K02	Unknown	Assay	6 3/4	366.01	2.41081	520	490	
7	1	 J02	Unknown	Assay	5 4/4	366.22	3.60614	520	490	
7	1	 I02	Unknown	Assay	5 3/4	366.43	2.93773	520	490	
7	1	 H02	Unknown	Assay	4 4/4	366.65	7.06313	520	490	
7	1	 G02	Unknown	Assay	4 3/4	366.86	5.84709	520	490	
7	1	 F02	Unknown	Assay	3 4/4	367.29	30.5198	520	490	
7	1	 E02	Unknown	Assay	3 3/4	367.5	26.4055	520	490	
7	1	 D02	Unknown	Assay	2 4/4	367.92	194.312	520	490	
7	1	 C02	Unknown	Assay	2 3/4	368.14	174.35	520	490	
7	1	 B02	Unknown	Assay	1 4/4	368.35	291.87	520	490	
7	1	 A02	Unknown	Assay	1 3/4	368.56	246.807	520	490	
7	1	 A03	Unknown	Assay	9 1/4	369.23	0.0915782	520	490	
7	1	 B03	Unknown	Assay	9 2/4	369.44	0.0885063	520	490	
7	1	 B04	Unknown	Assay	9 4/4	369.65	0.102275	520	490	
7	1	 A04	Unknown	Assay	9 3/4	369.87	0.0873965	520	490	
8	1	 A01	Unknown	Assay	1 1/4	420.26	167.323	520	490	
8	1	 B01	Unknown	Assay	1 2/4	420.47	257.996	520	490	
8	1	 C01	Unknown	Assay	2 1/4	420.68	111.361	520	490	
8	1	 D01	Unknown	Assay	2 2/4	420.9	167.953	520	490	
8	1	 E01	Unknown	Assay	3 1/4	421.32	20.0755	520	490	
8	1	 F01	Unknown	Assay	3 2/4	421.53	27.7737	520	490	
8	1	 G01	Unknown	Assay	4 1/4	421.96	4.31392	520	490	
8	1	 H01	Unknown	Assay	4 2/4	422.17	5.76069	520	490	
8	1	 I01	Unknown	Assay	5 1/4	422.38	2.28449	520	490	
8	1	 J01	Unknown	Assay	5 2/4	422.59	2.96744	520	490	
8	1	 K01	Unknown	Assay	6 1/4	422.8	1.74565	520	490	
8	1	 L01	Unknown	Assay	6 2/4	423.01	2.38794	520	490	
8	1	 M01	Unknown	Assay	7 1/4	423.22	1.96519	520	490	
8	1	 N01	Unknown	Assay	7 2/4	423.44	2.22109	520	490	
8	1	 O01	Unknown	Assay	8 1/4	424.1	168.999	520	490	
8	1	 P01	Unknown	Assay	8 2/4	424.31	189.093	520	490	
8	1	 P02	Unknown	Assay	8 4/4	424.52	165.053	520	490	
8	1	 O02	Unknown	Assay	8 3/4	424.74	198.283	520	490	
8	1	 N02	Unknown	Assay	7 4/4	425.4	2.40024	520	490	
8	1	 M02	Unknown	Assay	7 3/4	425.61	2.31016	520	490	
8	1	 L02	Unknown	Assay	6 4/4	425.82	2.62153	520	490	
8	1	 K02	Unknown	Assay	6 3/4	426.03	2.38094	520	490	
8	1	 J02	Unknown	Assay	5 4/4	426.24	3.60442	520	490	
8	1	 I02	Unknown	Assay	5 3/4	426.45	3.037	520	490	
8	1	 H02	Unknown	Assay	4 4/4	426.67	7.44573	520	490	
8	1	 G02	Unknown	Assay	4 3/4	426.88	6.21385	520	490	
8	1	 F02	Unknown	Assay	3 4/4	427.31	34.54	520	490	
8	1	 E02	Unknown	Assay	3 3/4	427.52	30.2288	520	490	
8	1	 D02	Unknown	Assay	2 4/4	427.94	202.013	520	490	
8	1	 C02	Unknown	Assay	2 3/4	428.16	183.52	520	490	
8	1	 B02	Unknown	Assay	1 4/4	428.37	285.159	520	490	
8	1	 A02	Unknown	Assay	1 3/4	428.58	243.407	520	490	
