Reading	Plate	Well	Type	Group	Sample	Meas. time [s]	RFU	Em	Ex	
1	1	 A01	Unknown	Assay	1 1/4	0	0.492376	520	490	
1	1	 B01	Unknown	Assay	1 2/4	0.25	0.44998	520	490	
1	1	 C01	Unknown	Assay	2 1/4	0.73	20.7004	520	490	
1	1	 D01	Unknown	Assay	2 2/4	0.98	21.7184	520	490	
1	1	 E01	Unknown	Assay	3 1/4	1.23	10.9695	520	490	
1	1	 F01	Unknown	Assay	3 2/4	1.48	21.0088	520	490	
1	1	 G01	Unknown	Assay	4 1/4	1.73	30.6443	520	490	
1	1	 H01	Unknown	Assay	4 2/4	1.98	27.9645	520	490	
1	1	 H02	Unknown	Assay	4 4/4	2.23	27.4112	520	490	
1	1	 G02	Unknown	Assay	4 3/4	2.48	28.165	520	490	
1	1	 F02	Unknown	Assay	3 4/4	2.73	23.4699	520	490	
1	1	 E02	Unknown	Assay	3 3/4	2.98	23.9567	520	490	
1	1	 D02	Unknown	Assay	2 4/4	3.23	21.7689	520	490	
1	1	 C02	Unknown	Assay	2 3/4	3.48	21.6976	520	490	
1	1	 B02	Unknown	Assay	1 4/4	3.97	0.453174	520	490	
1	1	 A02	Unknown	Assay	1 3/4	4.22	0.423399	520	490	
1	1	 A03	Unknown	Assay	5 1/4	4.47	0.186608	520	490	
1	1	 B03	Unknown	Assay	5 2/4	4.72	0.182814	520	490	
1	1	 C03	Unknown	Assay	6 1/4	4.97	0.177066	520	490	
1	1	 D03	Unknown	Assay	6 2/4	5.22	0.172817	520	490	
1	1	 E03	Unknown	Assay	7 1/4	5.47	0.26372	520	490	
1	1	 F03	Unknown	Assay	7 2/4	5.72	0.207505	520	490	
1	1	 G03	Unknown	Assay	air 1/4	5.97	0.226126	520	490	
1	1	 H03	Unknown	Assay	air 2/4	6.22	0.232027	520	490	
1	1	 H04	Unknown	Assay	air 4/4	6.47	0.203775	520	490	
1	1	 G04	Unknown	Assay	air 3/4	6.72	0.224316	520	490	
1	1	 F04	Unknown	Assay	7 4/4	6.97	0.191647	520	490	
1	1	 E04	Unknown	Assay	7 3/4	7.22	0.200285	520	490	
1	1	 D04	Unknown	Assay	6 4/4	7.47	0.211748	520	490	
1	1	 C04	Unknown	Assay	6 3/4	7.72	0.180358	520	490	
1	1	 B04	Unknown	Assay	5 4/4	7.97	0.210236	520	490	
1	1	 A04	Unknown	Assay	5 3/4	8.22	0.19872	520	490	
2	1	 A01	Unknown	Assay	1 1/4	299.99	0.405024	520	490	
2	1	 B01	Unknown	Assay	1 2/4	300.24	0.430909	520	490	
2	1	 C01	Unknown	Assay	2 1/4	300.71	16.6823	520	490	
2	1	 D01	Unknown	Assay	2 2/4	300.96	17.4216	520	490	
2	1	 E01	Unknown	Assay	3 1/4	301.21	11.7953	520	490	
2	1	 F01	Unknown	Assay	3 2/4	301.46	21.763	520	490	
2	1	 G01	Unknown	Assay	4 1/4	301.71	28.9664	520	490	
