Reading,avg. time [s],un0001 (A01),un0003 (A02),un0002 (B01),un0004 (B02),un0005 (C01),un0007 (C02),un0006 (D01),un0008 (D02),un0009 (E01),un0011 (E02),un0010 (F01),un0012 (F02),un0013 (G01),un0015 (G02),un0014 (H01),un0016 (H02),un0017 (I01),un0018 (I02),un0019 (J01),un0020 (J02),un0021 (K01),un0023 (K02),un0022 (L01),un0024 (L02)
1,0,12.56,46.15,25.36,42.57,0.5862,0.4062,0.3252,0.3726,0.35,0.4447,0.3818,0.8672,0.35,0.4556,0.4005,0.4358,0.2951,0.356,0.2827,0.3172,0.2468,0.3749,0.3055,0.3262
2,120.32,8.298,37.49,19.61,35.22,0.4164,0.317,0.2127,0.3154,0.2085,0.3575,0.2539,0.5721,0.2073,0.3651,0.2859,0.3586,0.1956,0.3549,0.2156,0.3272,0.1778,0.3494,0.2206,0.2826
3,240.31,8.651,37.6,21.72,34.26,0.4137,0.3403,0.2335,0.3269,0.2205,0.3915,0.2445,0.4797,0.2407,0.4001,0.2541,0.3678,0.2179,0.3621,0.2098,0.2523,0.22,0.2948,0.2503,0.2978
4,360.31,13.41,48.27,28.2,37.74,0.5683,0.366,0.3019,0.3603,0.2793,0.501,0.3405,0.7285,0.3631,0.4559,0.3721,0.5131,0.2786,0.3545,0.2711,0.3546,0.2524,0.375,0.3592,0.356
5,480.3,10.46,44.72,23.13,39.43,0.4122,0.3664,0.197,0.3045,0.2206,0.4036,0.2104,0.5797,0.2688,0.4917,0.3089,0.4587,0.2113,0.3661,0.2245,0.2996,0.2221,0.4177,0.2837,0.3475
6,600.34,11.54,48.37,25.9,47.51,0.4855,0.3782,0.2092,0.3297,0.2514,0.4251,0.2688,0.5862,0.3016,0.4723,0.2831,0.4679,0.2265,0.3582,0.2128,0.3174,0.2362,0.4438,0.2635,0.3472
7,720.33,15.93,48.88,33.88,42.73,0.5843,0.417,0.3134,0.3734,0.2687,0.442,0.3063,0.7255,0.3659,0.6096,0.4176,0.6223,0.2677,0.426,0.3105,0.3654,0.3274,0.4743,0.387,0.4774
8,840.32,13.28,51.17,28.6,47.03,0.5054,0.4066,0.2106,0.357,0.2644,0.435,0.2868,0.5802,0.4071,0.6032,0.3866,0.5824,0.263,0.3984,0.2407,0.3169,0.3354,0.4875,0.2928,0.4019
9,960.31,13.69,50.7,27.2,47.97,0.5187,0.4002,0.2343,0.3253,0.2573,0.4629,0.2718,0.585,0.39,0.6912,0.4599,0.6156,0.2771,0.3868,0.2375,0.321,0.2962,0.5457,0.3169,0.4619
10,1080.35,18.44,54.86,35.86,51.53,0.596,0.4032,0.2933,0.4209,0.2925,0.4891,0.3933,0.8462,0.4762,0.7351,0.5195,0.7093,0.2768,0.4332,0.3029,0.3827,0.3586,0.5873,0.4328,0.5464
11,1200.34,13.96,49.22,26.97,41.06,0.4888,0.406,0.2471,0.3572,0.2719,0.4759,0.2539,0.6058,0.4593,0.7388,0.4787,0.6966,0.2545,0.4149,0.2249,0.3488,0.3864,0.66,0.4129,0.515
12,1320.32,15.39,51.32,26.23,40.55,0.4778,0.4029,0.2447,0.3969,0.269,0.5463,0.2785,0.6121,0.5,0.8208,0.5397,0.7001,0.2455,0.4457,0.2905,0.3923,0.4627,0.6714,0.457,0.5553
13,1440.31,21.22,54.68,34.57,48.08,0.5509,0.4275,0.3117,0.4526,0.3435,0.5233,0.3675,0.7741,0.5362,0.9457,0.6901,0.8572,0.3099,0.473,0.2911,0.4575,0.4906,0.8206,0.6007,0.7011
14,1560.35,15.39,49.01,27.94,40.8,0.5362,0.4052,0.2573,0.4017,0.2979,0.5095,0.3488,0.6502,0.5627,0.9528,0.6156,0.8697,0.2684,0.425,0.284,0.4676,0.4646,0.8623,0.5331,0.6739
15,1680.34,15.52,49.14,24.94,41.54,0.5215,0.4789,0.2776,0.4499,0.3076,0.5111,0.3241,0.7011,0.5558,1.056,0.6042,0.9609,0.2724,0.4751,0.2816,0.4237,0.5006,0.826,0.4961,0.7967
16,1800.33,20.79,53.53,33.31,45.53,0.6254,0.4523,0.3363,0.4746,0.3717,0.57,0.4555,0.882,0.6584,1.117,0.7806,1.044,0.3154,0.5016,0.38,0.4672,0.6356,1.007,0.7077,0.8866
17,1920.32,17.54,53.32,18.27,43.83,0.5369,0.4958,0.324,0.4483,0.3355,0.5493,0.3376,0.6779,0.6531,1.197,0.7943,1.152,0.2811,0.4983,0.3048,0.4501,0.5689,0.9746,0.6209,0.9004
18,2040.3,18.22,54.11,12.83,43.36,0.5413,0.4595,0.2848,0.4486,0.3089,0.6044,0.424,0.7121,0.6682,1.313,0.9818,1.238,0.3619,0.5056,0.3348,0.4544,0.5885,1.123,0.6623,1.051
19,2160.34,21.41,54.33,35.69,46.08,0.6167,0.499,0.3566,0.4831,0.3666,0.62,0.5203,0.9442,0.7805,1.398,0.9694,1.341,0.3669,0.5277,0.426,0.5173,0.7343,1.161,0.8452,1.058
20,2280.33,18.39,54.42,33.08,45.6,0.5567,0.5057,0.315,0.4842,0.3849,0.6175,0.4119,0.7593,0.7529,1.417,0.9836,1.234,0.3491,0.5128,0.3441,0.4587,0.7498,1.257,0.7916,1.02
21,2400.32,17.7,53.32,33.1,45.78,0.5989,0.4641,0.3192,0.518,0.3603,0.6225,0.4672,0.83,0.8943,1.392,0.9994,1.413,0.3548,0.5789,0.3628,0.5109,0.7922,1.308,0.9119,1.113
22,2520.31,20.55,52.57,38.7,45.4,0.6542,0.5621,0.3864,0.4841,0.3754,0.6768,0.6127,0.9894,0.9769,1.574,1.153,1.495,0.3744,0.6159,0.4283,0.5251,0.8707,1.479,1.16,1.383
23,2640.35,18.76,53.14,31.82,40.42,0.5324,0.5162,0.3868,0.5393,0.3527,0.6593,0.4921,0.8925,0.9251,1.755,1.286,1.62,0.3669,0.6415,0.3671,0.5475,0.7706,1.518,0.908,1.295
24,2760.33,18.94,53.37,32.34,43.21,0.5087,0.4972,0.3595,0.5214,0.3637,0.7244,0.581,0.9377,0.953,1.837,1.188,1.606,0.3469,0.5592,0.3911,0.5443,0.8681,1.527,0.9643,1.4
25,2880.32,20.82,53.76,39.72,46.94,0.7402,0.5923,0.468,0.6068,0.4659,0.7327,0.6476,1.022,1.013,1.965,1.516,1.845,0.4079,0.6286,0.4865,0.5691,0.9739,1.565,1.129,1.56
26,3000.31,20.2,54.17,31.93,43.54,0.558,0.5432,0.3436,0.542,0.394,0.6909,0.5414,0.8906,0.991,2.104,1.489,1.855,0.4537,0.6542,0.4443,0.6256,0.8914,1.718,1.057,1.443
27,3120.35,20.27,54.93,31.76,43.08,0.5824,0.5467,0.4596,0.6377,0.4073,0.767,0.5188,0.9808,1.074,2.088,1.578,1.961,0.4271,0.6642,0.415,0.6126,0.9697,1.805,1.176,1.503
28,3240.34,21.43,54.92,40.13,46.56,0.6584,0.5676,0.4025,0.465,0.4796,0.7418,0.7922,1.22,1.241,2.322,1.724,2.067,0.467,0.7329,0.4566,0.609,1.104,1.883,1.364,1.877
29,3360.33,20.78,52.71,33.98,42.43,0.6401,0.5956,0.4753,0.6491,0.3968,0.7708,0.5921,0.9693,1.139,2.311,1.643,2.099,0.4445,0.6513,0.4746,0.5783,1.052,1.909,1.328,1.74
30,3480.31,21.87,56.27,32.56,44.79,0.6197,0.5866,0.4182,0.5805,0.4079,0.8156,0.6271,0.9439,1.305,2.465,1.807,2.284,0.4989,0.6913,0.4556,0.6242,1.026,2.011,1.21,1.665
31,3600.3,22.44,54.53,38.52,43.6,0.6876,0.622,0.6028,0.661,0.5196,0.9045,0.7926,1.154,1.374,2.689,1.995,2.307,0.5047,0.6816,0.5559,0.6662,1.183,2.15,1.585,1.989
32,3720.34,22.16,55.14,33.09,42.27,0.6243,0.5702,0.4161,0.6185,0.461,0.855,0.6745,1.021,1.302,2.569,1.776,2.116,0.4669,0.6618,0.545,0.6003,1.11,2.052,1.42,1.781
